Name,Country,Playing Role,Matches,Innings,Recent Runs,Recent Average,Recent Strike Rate,Recent Fifties,Recent Hundreds,Recent Best Score,Last Updated
Suryakumar Yadav,India,N/A,,,,,,,,,
Mohammad Rizwan,Pakistan,N/A,,,,,,,,,
Babar Azam,Pakistan,N/A,,,,,,,,,
Aiden Markram,South Africa,N/A,,,,,,,,,
Devon Conway,New Zealand,N/A,,,,,,,,,
Jos Buttler,England,N/A,,,,,,,,,
Glenn Phillips,New Zealand,N/A,,,,,,,,,
Virat Kohli,India,N/A,,,,,,,,,
Rohit Sharma,India,N/A,,,,,,,,,
David Warner,Australia,N/A,,,,,,,,,
